Comment,Designator,Footprint,LCSC
100uF,"C1,C2,C3,C4,C5,C6,C7,C8,C9",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C141660
100nF,C10,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C840116
CONN_02x16_PIN_SMD_Counter_Clockwise,J3,Connector_PinHeader_2.54mm:PinHeader_2x16_P2.54mm_Vertical_SMD,C6332241
Conn_01x03_Male,J4,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,C41417360
DX07S016JA1R1500,J5,RetroBitLab:JAE_DX07S016JA1R1500,C3197885
10K,"R1,R2,R3,R4",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C84376
5K1,"R5,R6",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C27834
CREZ08051%,"R7,R8",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C328378
"SPST_SWITCH_SMD_4P,4.1x5.4mm",SW1,RetroBitLab:SW_DIP_SPSTx02_DSHP02TS-S,C319052
TXS0108EPW,"U1,U3,U4",Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,C17206
